"","image_path","xmin","ymin","xmax","ymax","label"
"18","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478298.539825969,302609.771106082,478312.226652054,302621.902611022,"Tree"
"19","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478297.606633281,302603.549821498,478307.249624387,302611.948555687,"Tree"
"20","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478305.694303241,302604.483014186,478312.226652054,302611.015362999,"Tree"
"21","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478343.333074976,302669.650970207,478357.330965291,302687.070567043,"Tree"
"22","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478362.930121417,302664.051814081,478376.616947503,302678.982897084,"Tree"
"23","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478370.395662918,302680.53821823,478380.660782483,302689.559080877,"Tree"
"24","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478355.775644145,302674.939062104,478367.285020626,302684.58205321,"Tree"
"25","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478354.531387228,302681.782475147,478365.72969948,302693.291851628,"Tree"
"26","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478364.329910449,302692.047594711,478375.217158471,302701.068457358,"Tree"
"27","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478360.597139698,302696.091429691,478372.106516179,302706.356549255,"Tree"
"28","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478294.424136461,302534.198818882,478302.979205981,302546.305049335,"Tree"
"29","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478301.284333717,302532.342530213,478311.292150891,302543.964511447,"Tree"
"30","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478314.412868075,302520.696336518,478334.159475079,302543.181641878,"Tree"
"31","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478362.564487439,302524.625908121,478374.246320175,302534.714763666,"Tree"
"32","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478674.16350377,302894.074061171,478685.939991912,302905.850549314,"Tree"
"33","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478682.995869877,302901.43436626,478693.931180295,302911.949087816,"Tree"
"34","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478620.959012697,302846.75781417,478634.838445151,302859.796068899,"Tree"
"35","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478598.247214136,302833.088676147,478609.182524554,302844.444575428,"Tree"
"36","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478605.186930363,302828.0416098,478615.281063057,302836.453387045,"Tree"
"37","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478594.461914376,302815.634238365,478607.920757968,302831.616615129,"Tree"
"38","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478570.69864366,302841.500453392,478581.213365216,302854.118119259,"Tree"
"39","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478579.741304198,302835.822503752,478591.517792341,302848.019580757,"Tree"
"40","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478569.226582642,302835.191620458,478579.320715336,302844.444575428,"Tree"
"41","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478589.835436892,302832.457792854,478596.564858687,302838.346036925,"Tree"
"42","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478585.8398427,302829.093081956,478594.251619945,302835.40191489,"Tree"
"43","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478566.603082072,302826.717010615,478575.582910012,302837.078350546,"Tree"
"44","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478561.940479103,302824.126675633,478568.848039057,302830.688857589,"Tree"
"45","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478571.092996042,302822.399785644,478582.145091967,302833.106503572,"Tree"
"46","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478581.108957974,302815.319536692,478589.052651921,302827.407766611,"Tree"
"47","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478586.28962794,302820.845584655,478594.233321886,302832.243058578,"Tree"
"48","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478588.361895926,302813.074579707,478595.614833877,302822.054407647,"Tree"
"49","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478589.052651921,302805.13088576,478599.068613854,302816.873737681,"Tree"
"50","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478584.73542695,302808.066598741,478589.570718917,302815.319536692,"Tree"
"51","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478580.418201979,302807.375842745,478585.598871944,302813.247268706,"Tree"
"52","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478583.526603958,302802.885928776,478590.088785914,302810.138866727,"Tree"
"53","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478573.510642026,302802.19517278,478583.18122596,302811.520378717,"Tree"
"54","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478569.366106053,302808.23928774,478579.727445984,302817.909871674,"Tree"
"55","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478573.683331024,302814.628780697,478581.627024971,302823.608608636,"Tree"
"56","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478591.642986904,302798.741392803,478599.58668085,302807.030464748,"Tree"
"57","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478595.09676688,302791.488454852,478604.07659482,302800.468282792,"Tree"
"58","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478584.217359954,302790.27963186,478593.887943888,302797.532569812,"Tree"
"59","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478590.952230908,302786.480473886,478598.205168859,302794.078789835,"Tree"
"60","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478585.771560943,302778.536779939,478597.859790862,302789.588875865,"Tree"
"61","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478596.823656869,302783.026693909,478608.911886787,302793.388033839,"Tree"
"62","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478580.340141844,302794.85102276,478590.883905913,302804.296478071,"Tree"
"63","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478571.99299529,302795.510008014,478580.340141844,302805.394786829,"Tree"
"64","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478576.935384697,302789.029986346,478585.282531252,302797.816456404,"Tree"
"65","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478591.318393667,302771.822659702,478601.351297289,302782.348984814,"Tree"
"66","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478599.70655899,302775.358847045,478610.397357932,302786.378593646,"Tree"
"67","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478607.190118249,302776.510163854,478615.249335913,302786.214119816,"Tree"
"68","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478607.601302824,302765.243706508,478620.430261554,302778.566086727,"Tree"
"69","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478598.884189841,302767.135155551,478610.890779421,302776.839111513,"Tree"
"70","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478593.456553455,302763.681205124,478601.351297289,302773.549634916,"Tree"
"71","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478613.522360699,302756.033172035,478625.03552879,302765.737127997,"Tree"
"72","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478603.160509417,302746.822637562,478614.344729849,302758.171331823,"Tree"
"73","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478598.473005266,302754.223959906,478609.328278037,302766.066075657,"Tree"
"74","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478615.742757402,302747.069348307,478625.775661024,302756.773304269,"Tree"
"75","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478620.509072505,302739.102556794,478631.435546913,302752.659478744,"Tree"
"76","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478613.325927293,302739.507241031,478620.407901446,302747.803267896,"Tree"
"77","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478607.356834792,302737.483819844,478614.034124708,302747.803267896,"Tree"
"78","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478608.368545385,302731.211214166,478615.652861657,302740.114267387,"Tree"
"79","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478612.11187458,302725.039779546,478620.812585683,302735.966253954,"Tree"
"80","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478609.17791386,302727.46788497,478613.831782589,302732.728780056,"Tree"
"81","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478616.259888013,302723.623384716,478622.532493692,302731.110043106,"Tree"
"82","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478622.127809455,302729.895990394,478633.256625981,302742.845885989,"Tree"
"83","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478626.275822887,302727.46788497,478631.739060091,302734.145174886,"Tree"
"84","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478630.120323142,302729.693648276,478636.999955176,302740.215438446,"Tree"
"85","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478626.882849243,302720.588252936,478634.167165515,302730.300674632,"Tree"
"86","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478621.31844098,302720.082397639,478630.019152082,302726.962029674,"Tree"
"87","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478632.649599625,302722.105818826,478640.945626491,302732.02058264,"Tree"
"88","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478638.922205304,302711.887541833,478649.039311237,302726.253832258,"Tree"
"89","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478633.863652337,302713.708620901,478640.136258016,302722.409332004,"Tree"
"90","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478620.812585683,302710.167633824,478628.703928311,302719.273029164,"Tree"
"91","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478628.703928311,302709.762949587,478635.178876109,302718.058976452,"Tree"
"92","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478628.253995147,302702.219198877,478635.073160892,302710.012531158,"Tree"
"93","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478632.718925099,302705.791142839,478640.51225738,302712.772669674,"Tree"
"94","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478637.833299408,302702.706282145,478645.301909511,302710.824336604,"Tree"
"95","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478638.726285399,302691.584547535,478649.766839463,302702.787462689,"Tree"
"96","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478631.988300198,302694.66940823,478640.431076835,302702.949823778,"Tree"
"97","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478633.206008367,302685.65836778,478642.622951539,302695.887116399,"Tree"
"98","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478647.169062036,302685.577187236,478655.124755406,302693.695241695,"Tree"
"99","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478646.600798224,302690.529200456,478655.530658129,302701.56975452,"Tree"
"100","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478643.51593753,302698.809616004,478654.881213773,302712.123225317,"Tree"
"101","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478644.246562431,302677.377952232,478653.988227782,302687.76906194,"Tree"
"102","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478636.777952329,302678.676840945,478643.597118074,302685.65836778,"Tree"
"103","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478645.31553514,302665.751744048,478657.004124643,302679.23857809,"Tree"
"104","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478657.004124643,302652.864324853,478670.191251261,302666.051451471,"Tree"
"105","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478653.8571967,302660.057303008,478664.646663933,302672.944722203,"Tree"
"106","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478650.710268757,302653.613593411,478658.802369182,302664.702768067,"Tree"
"107","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478645.465388852,302652.714471141,478652.058952161,302660.806571566,"Tree"
"108","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478642.46831462,302657.509789911,478648.462463083,302664.103353221,"Tree"
"109","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478633.776799349,302670.547062818,478640.969777505,302678.33945582,"Tree"
"110","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478638.122556985,302672.195453645,478647.113779679,302680.287554071,"Tree"
"111","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478636.624019869,302661.405986412,478645.615242563,302671.296331376,"Tree"
"112","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478638.871825542,302651.515641448,478646.364511121,302661.106278989,"Tree"
"113","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478642.168607197,302646.120907832,478648.462463083,302653.613593411,"Tree"
"114","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478647.863048237,302648.81827464,478652.658367007,302653.913300834,"Tree"
"115","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478645.165681429,302643.573394735,478651.459537315,302648.368713506,"Tree"
"116","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478649.511439064,302645.221785562,478654.906172681,302650.017104333,"Tree"
"117","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478652.658367007,302638.32851483,478661.050174855,302646.420615255,"Tree"
"118","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478657.753393201,302642.674272466,478665.545786202,302650.166958044,"Tree"
"119","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478655.955148662,302646.87017639,478664.646663933,302657.060228777,"Tree"
"120","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478662.099150836,302645.97105412,478671.689788377,302656.161106507,"Tree"
"121","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478662.249004548,302639.527344523,478670.940519819,302648.518567217,"Tree"
"122","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478657.603539489,302626.190364193,478666.594762183,302637.579246272,"Tree"
"123","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478661.649589701,302633.683049771,478670.04139755,302640.876027927,"Tree"
"124","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478646.814072256,302627.389193885,478657.004124643,302637.279538849,"Tree"
"125","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478648.912024218,302632.783927502,478658.802369182,302641.775150196,"Tree"
"126","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478648.012901948,302618.397971191,478659.102076605,302629.187438424,"Tree"
"127","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478647.863048237,302614.651628402,478654.456611546,302622.14431398,"Tree"
"128","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478655.205880104,302611.504700459,478666.29505476,302624.092412231,"Tree"
"129","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478651.609391026,302605.360698284,478661.49973599,302616.44987294,"Tree"
"130","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478648.762170506,302599.516403533,478657.453685777,302610.305870766,"Tree"
"131","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478644.416412871,302582.582934125,478656.70441722,302594.870938474,"Tree"
"132","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478654.456611546,302582.433080413,478666.744615895,302594.721084762,"Tree"
"133","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478642.768022043,302590.824888262,478651.759244738,302600.715233225,"Tree"
"134","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478660.737417221,302565.342536032,478669.349662993,302575.827009146,"Tree"
"135","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478654.933512461,302570.21032712,478667.664658386,302582.941473045,"Tree"
"136","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478651.75072598,302577.886459222,478659.239635348,302585.749814057,"Tree"
"137","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478664.669094639,302554.670840183,478680.021358842,302568.899767981,"Tree"
"138","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478668.039103854,302567.214763373,478675.153567753,302575.078118209,"Tree"
"139","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478644.261816613,302547.743599019,478663.3585355,302566.465872437,"Tree"
"140","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478643.325702942,302558.228072133,478659.426858082,302575.452563677,"Tree"
"141","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478633.215675296,302569.461436184,478651.189057778,302588.55815507,"Tree"
"142","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478624.228984056,302570.584772589,478639.20680279,302588.183709602,"Tree"
"143","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478622.16953398,302557.104735728,478636.772907246,302574.329227272,"Tree"
"144","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478632.279561626,302549.428603626,478648.755162233,302573.018668133,"Tree"
"145","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478653.725553705,302540.252551149,478662.589236336,302551.802198215,"Tree"
"146","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478658.023096799,302534.343429395,478669.304147421,302544.550094243,"Tree"
"147","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478665.812393657,302529.911588079,478673.333094072,302537.700884937,"Tree"
"148","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478659.768973681,302522.122291221,478669.97563853,302535.283516947,"Tree"
"149","C:/Users/am1355/OneDrive - University of Leicester/Publications/Thesis/ch2/training_deepforest/RGB_training/Allterton.tif",478672.930199407,302541.058340479,478686.091425133,302556.905530639,"Tree"
